	Limosilactobacillus_reuteri_I49	Muribaculum_intestinale_YL27	In	InAmount	Out	OutAmount	All	AllAmount
Glycolaldehyde-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Glycolate-e0	2.7172708527700706e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
H2-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
H2O-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
H2S-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Hemin	0.0	0.0		0		0		0
Homocysteine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Inosine-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
K+-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Alanine-e0	0.0	5.675755004874716e-14	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Arginine-e0	0.0	-1.375566327510569e-13	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	1.932343174360085e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Aspartate-e0	2.840505608503463e-13	2.1384630177756492e-13	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Cysteine-e0	-5.731526364627371e-15	2.3137741722578653e-14	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Cystine	0.0	0.0		0		0		0
L-Glutamate	0.0	0.0		0		0		0
L-Glutamate-e0	-2.527804354723884e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Glutamine-e0	-3.67095243092308e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Histidine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Lysine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Methionine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
L-Phenylalanine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Phenylalanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Proline	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Proline-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Serine	0.0	-3.3498204210502536e-13	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Serine-e0	1.1503298313897403e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Threonine	0.0	-1.3206102877916237e-13	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Threonine-e0	9.575673587391975e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tryptophan	0.0	0.0		0		0		0
L-Tryptophan-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tyrosine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Tyrosine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Melitose-e0	2.0264900868482982e-12	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Mn2+-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Na+-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Neu5Ac-e0	0.0	-5.4789506265251475e-14	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Niacin	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	1.715433350923945e-13	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0		0		0		0
Ornithine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
PAN	0.0	126.68907411714238	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2	Muribaculum_intestinale_YL27	1	Muribaculum_intestinale_YL27Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propionate-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Puryvate	0.0	0.0		0		0		0
Putrescine	0.0	0.0		0		0		0
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	0.0		0		0		0
Pyruvate-e0	1.0597078770047119e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Riboflavin	96.79614651624983	5.50192703896446e-13	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	3
Selenium	0.0	0.0		0		0		0
Sorbitol-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	1.871169885703239e-12	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sucrose	1.3735679260662437e-12	5.643818745681983e-13	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Sulfate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
Thiamin-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Thiamine	4.25659507641285e-12	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Uracil	0.0	0.0		0		0		0
Uracil-e0	9.639511411307922e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Urea-e0	-2.1219137558148304e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2		0	Limosilactobacillus_reuteri_I49.Muribaculum_intestinale_YL27	2
fucose	0.0	0.0		0		0		0
lactate	0.0	-3.9562537273996057e-14	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
