	Limosilactobacillus_reuteri_I49	Flavonifractor_plautii_YL31	In	InAmount	Out	OutAmount	All	AllAmount
D-Mannitol-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
D-Mannose-e0	0.14556947019896044	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	3
Fe2+-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Folate-e0	0.8734168211935166	84.45938274524326	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	4
Fumarate-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Galactose-e0	0.0	0.0		0		0		0
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Glycolate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
H2-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
H2O-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Hemin	0.0	0.0		0		0		0
Homocysteine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Inosine-e0	0.0	2.092631623540342e-13	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
K+-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Alanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Arginine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.2911389403980652	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	3
L-Aspartate-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Cysteine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Glutamine-e0	0.2911389403981311	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
L-Histidine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Isoleucine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Lysine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Methionine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Phenylalanine	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Phenylalanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Proline-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Serine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Threonine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Tryptophan	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Tryptophan-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tyrosine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
L-Valine-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Melitose-e0	0.8734168211939448	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Mn2+-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Na+-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Niacin	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Nickel	0.0	0.0		0		0		0
O2-e0	-2.6202504635818817	-1.9228715841812516e-13	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	3
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	9.137135492665038e-14	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Putrescine-e0	1.5612511283791264e-15	-1.6360524046632463e-13	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Pyridoxal	0.0	0.0		0		0		0
Pyruvate-e0	0.1455694701989822	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Riboflavin	1.6012641721882646	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	3
Selenium	0.0	0.0		0		0		0
Sorbitol-e0	0.0	0.0		0		0		0
Spermidine-e0	0.5822778807955116	-1.3744561044859438e-13	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	3
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Sucrose	0.5822778807959474	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Sulfate-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Thiamin-e0	0.0	0.0		0		0		0
Thiamine	2.037972582784728	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Uracil-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Urea-e0	-0.29113894039795746	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	3
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
Zn2+-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2		0	Flavonifractor_plautii_YL31.Limosilactobacillus_reuteri_I49	2
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0		0		0		0
