	Limosilactobacillus_reuteri_I49	In	InAmount	Out	OutAmount	All	AllAmount
Fumarate-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Galactose-e0	0.0		0		0		0
Gamma-Tocopherol	0.0		0		0		0
Glycine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Glycolate-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Guanidine	0.0		0		0		0
Guanine	0.0		0		0		0
H+-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
H2O-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Hemin	0.0		0		0		0
Homocysteine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Hydrocortisone	0.0		0		0		0
Hypoxanthine	0.0		0		0		0
Inosine	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
K+-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Alanine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Arginine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Ascorbate	0.0		0		0		0
L-Asparagine-e0	1.4089424071883627e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Aspartate-e0	0.0		0		0		0
L-Cysteine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Cystine	0.0		0		0		0
L-Glutamate-e0	0.0		0		0		0
L-Glutamine-e0	-2.5500435096859064e-15	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Histidine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Isoleucine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Lactate-e0	0.0		0		0		0
L-Leucine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Lysine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Malate-e0	0.0		0		0		0
L-Methionine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Phenylalanine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Proline-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Serine-e0	0.0		0		0		0
L-Threonine-e0	2.2192317428171293e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tryptophan-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tyrosine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Valine-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Linolenic	0.0		0		0		0
Melitose-e0	-1.2073675392798577e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Methylguanidine	0.0		0		0		0
Methylhistidine	0.0		0		0		0
Mg-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Mn2+-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Molybdenum	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0		0		0		0
N-acetyl-D-galactosamine	0.0		0		0		0
N-acetyl-D-gluosamine	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0		0		0		0
NH3-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Na+-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Niacin	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Nickel	0.0		0		0		0
O2-e0	4.669875597329565e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Oleic acid	0.0		0		0		0
PAN	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Pb-e0	0.0		0		0		0
Pectin	0.0		0		0		0
Phosphate-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Phosphoethanolamine	0.0		0		0		0
Putrescine-e0	0.0		0		0		0
Pyridoxal	0.0		0		0		0
Pyruvate-e0	2.7200464103316335e-15	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Riboflavin	-8.248957072964913e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Selenium	0.0		0		0		0
Sorbitol-e0	0.0		0		0		0
Spermidine-e0	1.0068335054569388e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Stachyose	0.0		0		0		0
Starch	0.0		0		0		0
Succinate-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sucrose	-7.854827899222983e-15	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sulfate-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Thiamine	-4.0592529337857286e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Uracil-e0	0.5498248331023025	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Urea-e0	1.3905543383430086e-14	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
VitA Retinol	0.0		0		0		0
Vitamin K1	0.0		0		0		0
Vitamin K3	0.0		0		0		0
Zn2+-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
acetylhexosamine	0.0		0		0		0
carbonate	0.0		0		0		0
fe3-e0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
fucose	0.0		0		0		0
