	Muribaculum_intestinale_YL27	Turicimonas_muris_YL45	In	InAmount	Out	OutAmount	All	AllAmount
D-Mannose-e0	-7.896547998820225e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Ethanol-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Fe2+-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Folate	-6.732614465931874e-12	2.2287727219350018e-13	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Formate-e0-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Fumarate-e0	-1.1548956235785113e-12	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
GABA-e0-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Galactose-e0	-6.764111840085185e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glutamine	-2.2627594242763394e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Glycine-e0	-1.0888234758255066e-12	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Glycolaldehyde-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
H2-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
H2O-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
H2S-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
K+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Alanine-e0	-2.719768854575477e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Arginine-e0	-1.6788792578381617e-12	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Aspartate-e0	-2.5869931197242124e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Cysteine-e0	-1.2244563002417053e-12	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate	-1.3862730408042978e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Glutamate-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Glutamine-e0	0.0	0.0		0		0		0
L-Histidine-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Isoleucine	0.0	0.0		0		0		0
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0		0		0		0
L-Lysine-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Methionine-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Phenylalanine	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Proline	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Proline-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Serine	-1.2505552149377763e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Serine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Threonine	-1.2372325386422744e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Threonine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Tryptophan	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Tyrosine	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0		0		0		0
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Mg-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Mn2+	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Mn2+-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Na+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Neu5Ac-e0	-2.5499533040651556e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Niacin	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Nickel	0.0	0.0		0		0		0
O2-e0	1.182658138088044e-12	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propionate-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Puryvate	0.0	0.0		0		0		0
Putrescine	-2.1782575743145571e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Pyruvate-e0	0.0	1.5068848946420133e-13	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Riboflavin	126.68907411952857	126.68907411760752	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	4
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	-4.1025516317461097e-13	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	-1.2470805638153948e-12	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Sucrose	-2.1578051845327906e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sulfate-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Thiamin-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
fucose	0.0	0.0		0		0		0
lactate	-5.260999969003421e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
