	Clostridium_innocuum_I46	Blautia_coccoides_YL58	In	InAmount	Out	OutAmount	All	AllAmount
L-Alanine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Arginine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Aspartate-e0	7.733952367416919e-13	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Cysteine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Glutamine-e0	-2.4888424654534447e-13	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Histidine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Lactate-e0	0.0	7.942639601576928e-13	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Lysine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Malate-e0	-1.6642243139131097e-12	-3.6286806892604773e-12	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Methionine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Phenylalanine	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Proline-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Serine-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Threonine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
L-Tryptophan	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Tyrosine	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Tyrosine-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Valine-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Mn2+-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	2.0067281170099704e-14	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
N-Acetyl-D-glucosamine-e0	-1.6165679905810748e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	-7.955457039660052e-13	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
NH3-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Na+-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Niacin	0.0	0.0		0		0		0
Nickel	0.0	0.0		0		0		0
O2-e0	-2.5432433936600773e-13	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.68907412016924	96.79614652163562	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2	Blautia_coccoides_YL58.Clostridium_innocuum_I46Blautia_coccoides_YL58.Clostridium_innocuum_I46	4
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	-9.573635287307702e-13	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Putrescine-e0	1.7311152511467753e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	-1.0904610547868288e-12	-1.8598456108520622e-11	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Selenium	0.0	0.0		0		0		0
Spermidine-e0	1.5038525980060058e-12	2.910005569844998e-12	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Sucrose	0.0	0.0		0		0		0
Sucrose-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Sulfate-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Thiamin-e0	-1.290523243824282e-12	-9.91637327807382e-12	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Uracil-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Urea-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
Zn2+-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2		0	Blautia_coccoides_YL58.Clostridium_innocuum_I46	2
lactate	0.0	0.0		0		0		0
