	0.5377	0.5390	0.5395	1.2636	Source	Target
D-Glucose##TTP##bc1008	0.0	0.0	0.0	0.0	D-Glucose	TTP
D-Glucose##L-Lysine##bc1008	0.0	0.0	0.0	0.0	D-Glucose	L-Lysine
D-Glucose##Mn2+##bc1008	0.0	0.0	0.0	0.0	D-Glucose	Mn2+
D-Glucose##L-Isoleucine##bc1008	0.0	0.0	0.0	0.0	D-Glucose	L-Isoleucine
D-Glucose##NH3##bc1008	0.0	0.0	0.0	0.0	D-Glucose	NH3
D-Glucose##CO2##bc1008	0.0	0.0	0.0	0.0	D-Glucose	CO2
D-Glucose##D-Arabinose##bc1008	0.0	0.0	0.0	0.0	D-Glucose	D-Arabinose
D-Glucose##L-Alanine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Alanine
D-Glucose##L-Glutamate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Glutamate
D-Glucose##Riboflavin##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Riboflavin
D-Glucose##Zn2+##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Zn2+
D-Glucose##L-Histidine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Histidine
D-Glucose##Co2+##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Co2+
D-Glucose##D-Glucose##bc1016	0.0	0.0	0.0	0.0	D-Glucose	D-Glucose
D-Glucose##K+##bc1016	0.0	0.0	0.0	0.0	D-Glucose	K+
D-Glucose##L-Proline##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Proline
D-Glucose##L-Glutamine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Glutamine
D-Glucose##Pyridoxal##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Pyridoxal
D-Glucose##TRHL##bc1016	0.0	0.0	0.0	0.0	D-Glucose	TRHL
D-Glucose##AMP##bc1016	0.0	0.0	0.0	0.0	D-Glucose	AMP
D-Glucose##Deoxycytidine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Deoxycytidine
D-Glucose##L-Cysteine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Cysteine
D-Glucose##Mn2+##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Mn2+
D-Glucose##D-Alanine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	D-Alanine
D-Glucose##Chorismate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Chorismate
D-Glucose##Glycerol##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Glycerol
D-Glucose##4-Hydroxybenzoate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	4-Hydroxybenzoate
D-Glucose##L-Leucine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Leucine
D-Glucose##L-Aspartate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Aspartate
D-Glucose##L-Arginine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Arginine
D-Glucose##CMP##bc1016	0.0	0.0	0.0	0.0	D-Glucose	CMP
D-Glucose##Sulfate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Sulfate
D-Glucose##Acetate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Acetate
D-Glucose##Putrescine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Putrescine
D-Glucose##L-Phenylalanine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Phenylalanine
D-Glucose##Oxidized glutathione##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Oxidized glutathione
D-Glucose##2-Oxoglutarate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	2-Oxoglutarate
D-Glucose##Uridine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Uridine
D-Glucose##Ca2+##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Ca2+
D-Glucose##L-Tyrosine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Tyrosine
D-Glucose##Spermidine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Spermidine
D-Glucose##Pimelate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Pimelate
D-Glucose##NH3##bc1016	0.0	0.0	0.0	0.0	D-Glucose	NH3
D-Glucose##Glucose-1-phosphate##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Glucose-1-phosphate
D-Glucose##Cl-##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Cl-
D-Glucose##BET##bc1016	0.0	0.0	0.0	0.0	D-Glucose	BET
D-Glucose##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1016	0.0	0.0	0.0	0.0	D-Glucose	1,2-Diacyl-sn-glycerol dioctadecanoyl
D-Glucose##fe3##bc1016	0.0	0.0	0.0	0.0	D-Glucose	fe3
D-Glucose##L-Valine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Valine
D-Glucose##H+##bc1016	0.0	0.0	0.0	0.0	D-Glucose	H+
D-Glucose##Cytidine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Cytidine
D-Glucose##L-Methionine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Methionine
D-Glucose##BIOT##bc1016	0.0	0.0	0.0	0.0	D-Glucose	BIOT
D-Glucose##Glycine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Glycine
D-Glucose##L-Isoleucine##bc1016	0.0	0.0	0.0	0.0	D-Glucose	L-Isoleucine
D-Glucose##ddca##bc1016	0.0	0.0	0.0	0.0	D-Glucose	ddca
D-Glucose##Myristic acid##bc1016	0.0	0.0	0.0	0.0	D-Glucose	Myristic acid
D-Glucose##dGTP##bc1016	0.0	0.0	0.0	0.0	D-Glucose	dGTP
D-Glucose##NADP##bc1016	0.0	0.0	0.0	0.0	D-Glucose	NADP
D-Glucose##D-Arabinose##bc1016	0.0	0.0	0.0	0.0	D-Glucose	D-Arabinose
