	Akkermansia_muciniphilaYL44	Turicimonas_muris_YL45	In	InAmount	Out	OutAmount	All	AllAmount
Glycine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Glycolaldehyde-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
H2-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
H2O-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
H2S-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
K+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Alanine-e0	0.0	0.0		0		0		0
L-Arginine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Aspartate-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Cysteine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	-8.201564427601227e-13	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Glutamine-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
L-Histidine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Isoleucine	0.0	0.0		0		0		0
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0		0		0		0
L-Lysine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Methionine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Phenylalanine	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Proline-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Serine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Threonine-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Tryptophan	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Tyrosine	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
L-Valine-e0	0.0	0.0		0		0		0
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Mg-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
Mn2+	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Mn2+-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Na+-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Neu5Ac-e0	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
Niacin	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Nickel	0.0	0.0		0		0		0
O2-e0	2.250810648973811e-12	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	0.0		0		0		0
Putrescine	0.0	0.0		0		0		0
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Pyruvate-e0	0.0	1.5754585136473764e-13	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Riboflavin	0.0	126.68907411739079	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	3
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	-4.173120182748846e-13	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Sucrose	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Thiamin-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
Uracil	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
Uracil-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2		0	Akkermansia_muciniphilaYL44.Turicimonas_muris_YL45	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
fucose	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
galactose	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
lactate	0.0	0.0	Akkermansia_muciniphilaYL44	1		0	Akkermansia_muciniphilaYL44	1
