	Clostridium_innocuum_I46	Flavonifractor_plautii_YL31	In	InAmount	Out	OutAmount	All	AllAmount
Phosphate-e0	0.0	0.0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	9.7025165679554e-13	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Putrescine-e0	0.0	2.7614022179989206e-13	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	0.0	126.68907411679149	Flavonifractor_plautii_YL31	1	Flavonifractor_plautii_YL31	1	Flavonifractor_plautii_YL31Flavonifractor_plautii_YL31	2
Selenium	0.0	0.0		0		0		0
Spermidine-e0	-2.6900773275606582e-12	1.152147821592564e-12	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
Sucrose	0.0	0.0		0		0		0
Sucrose-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Sulfate-e0	0.0	0.0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
Thiamin-e0	4.068197168027865e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Uracil-e0	0.0	1.900701818158268e-12	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
Urea-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
Zn2+-e0	0.0	0.0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2		0	Clostridium_innocuum_I46.Flavonifractor_plautii_YL31	2
lactate	0.0	0.0		0		0		0
